Project,BugID,Tool,LineCoverage,BranchCoverage,DetectedBug
Math,33,randoop,ERR,ERR,ERR
Math,33,evosuite,ERR,ERR,ERR
Math,34,randoop,ERR,ERR,ERR
Math,34,evosuite,ERR,ERR,ERR
Math,37,randoop,0.8863636363636364,0.7531645569620253,NO
Math,37,evosuite,0.9863636363636363,0.9810126582278481,NO
Math,41,randoop,0.7142857142857143,0.43478260869565216,NO
Math,41,evosuite,0.9910714285714286,0.8695652173913043,NO
Math,50,randoop,ERR,ERR,ERR
Math,50,evosuite,ERR,ERR,ERR
Math,53,randoop,ERR,ERR,ERR
Math,53,evosuite,ERR,ERR,ERR
Math,57,randoop,ERR,ERR,ERR
Math,57,evosuite,ERR,ERR,ERR
Math,58,randoop,ERR,ERR,ERR
Math,58,evosuite,ERR,ERR,ERR
Time,4,randoop,0.5454545454545454,0.3018867924528302,NO
Time,4,evosuite,0.9604743083003953,0.9811320754716981,NO
Time,11,randoop,0.20865139949109415,0.17616580310880828,NO
Time,11,evosuite,0.5038167938931297,0.48704663212435234,YES
Time,12,randoop,0.6987951807228916,0.5254237288135594,YES
Time,12,evosuite,0.927710843373494,0.902542372881356,NO
Time,14,randoop,0.868421052631579,0.6739130434782609,YES
Time,14,evosuite,0.9824561403508771,0.9782608695652174,NO
Time,15,randoop,0.92,0.8714285714285714,NO
Time,15,evosuite,0.9733333333333334,0.9428571428571428,YES
Time,16,randoop,0.7584541062801933,0.4772727272727273,NO
Time,16,evosuite,0.9468599033816425,0.9204545454545454,NO
Time,17,randoop,0.749271137026239,0.5432098765432098,YES
Time,17,evosuite,ERR,ERR,ERR
Time,18,randoop,0.47093023255813954,0.21052631578947367,NO
Time,18,evosuite,0.7994186046511628,0.6842105263157895,NO
Time,19,randoop,0.7201166180758017,0.5308641975308642,YES
Time,19,evosuite,ERR,ERR,ERR
Time,20,randoop,0.4230396902226525,0.27843803056027167,NO
Time,20,evosuite,0.89351403678606,0.865874363327674,NO
Time,22,randoop,0.8713450292397661,0.6206896551724138,YES
Time,22,evosuite,0.9883040935672515,0.9827586206896551,NO
Time,23,randoop,0.7777777777777778,0.6172839506172839,NO
Time,23,evosuite,ERR,ERR,ERR
Time,24,randoop,0.6944444444444444,0.5,NO
Time,24,evosuite,0.9722222222222222,0.953125,NO
Time,25,randoop,0.7591463414634146,0.5526315789473685,YES
Time,25,evosuite,ERR,ERR,ERR
Time,26,randoop,0.6825396825396826,0.4875,YES
Time,26,evosuite,0.6384479717813051,0.5416666666666666,NO
Jsoup,1,randoop,0.9782608695652174,0.8888888888888888,NO
Jsoup,1,evosuite,1.0,1.0,NO
Jsoup,2,randoop,0.6666666666666666,0.4883720930232558,NO
Jsoup,2,evosuite,0.9012345679012346,0.8023255813953488,NO
Jsoup,3,randoop,0.9291736930860034,0.7244897959183674,YES
Jsoup,3,evosuite,0.9207419898819561,0.8571428571428571,YES
Jsoup,4,randoop,N/A,N/A,NO
Jsoup,4,evosuite,N/A,N/A,YES
Jsoup,5,randoop,0.7325581395348837,0.6521739130434783,NO
Jsoup,5,evosuite,0.9767441860465116,0.967391304347826,YES
Jsoup,6,randoop,N/A,N/A,NO
Jsoup,6,evosuite,N/A,N/A,NO
